F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,split,session,dialogue_id,utterance_id,turn_name,emotion,wav_path
22.99522,0.030854704,22.518179,22.81894,23.830536,1.312357,4.2378955,0.0,1.6657119,7.1571674,0.05924102,0.48584732,0.044505794,0.046696976,0.0668178,0.022312004,0.5859166,0.7386258,0.56872964,0.1826446,0.008601326,0.4945174,27.6632,0.16570792,-0.8403334,-5.1110473,13.172097,0.6309558,-5.5682626,-0.7005253,0.011348387,1.0206752,0.8600176,0.5834839,5.0263047,0.20149533,5.4700446,0.9826541,26.121696,0.23027615,442.98895,0.19853592,1359.1862,0.13415328,-164.72548,-0.4534746,1450.9774,0.06464228,1015.17267,0.23720096,-167.32182,-0.41518703,2554.2695,0.04407405,793.2262,0.1508137,-168.70518,-0.39397988,-15.019524,-0.24076581,24.935678,0.20740296,0.022462288,0.63152355,-0.00011333171,-54.26284,0.01362091,0.49230185,36.05344,0.101257294,-0.52851516,-15.103758,22.572855,0.53506404,-3.6181858,-1.5126714,-12.137541,23.260487,0.003047938,0.011156253,0.007518968,1.2500001,0.85106385,0.205,0.085,0.63,0.5649779,-55.181736,train,Session3,Ses03F_impro06,0,Ses03F_impro06_M000,neutral,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_M000.wav
36.52079,0.07957622,36.072212,37.296074,38.081806,2.009594,85.70857,0.0,77.01599,62.871693,0.089250945,0.5321641,0.059751604,0.0655484,0.11267393,0.052922327,1.2514485,1.1039551,0.6039203,0.56231576,0.015961148,0.5253335,24.278557,0.2591706,-2.1536572,-2.5846438,19.839687,0.36801344,-8.354381,-0.86282855,0.08149388,2.1858084,1.319571,0.4023539,6.7038226,0.49806097,8.483639,0.7205713,16.53833,0.73269874,592.1098,0.44113332,1479.0778,0.15176806,-190.7313,-0.21664377,1628.3036,0.14733008,1234.7325,0.37636316,-184.22801,-0.27140227,2553.9712,0.099975854,1091.957,0.44636607,-184.24937,-0.2717281,-15.331102,-0.3401069,22.882532,0.30108958,0.023087857,0.4614916,-0.009071144,-1.3111027,0.027156511,0.4275845,29.238663,0.22404712,1.0115558,6.4939117,30.486305,0.36063358,-16.685217,-0.5964595,-10.6455555,18.72367,-0.0053495215,0.006923884,0.0148775745,2.0997376,0.5319149,0.17,0.099999994,1.1233333,0.8115965,-51.493423,train,Session3,Ses03F_impro06,1,Ses03F_impro06_F000,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F000.wav
34.103355,0.012881534,33.686493,34.024323,34.56891,0.8824158,10.49276,1.7483565,13.61227,6.521511,0.09473965,0.6265463,0.059656166,0.066703096,0.12095881,0.061302647,0.63048726,0.6740268,0.67976844,0.49533272,0.016759744,0.5233895,25.964127,0.18478498,-7.455687,-1.4180635,16.047215,0.4627051,-3.870076,-1.6744487,0.0149000725,0.7424274,1.1456313,0.3493192,5.0582466,0.520322,8.289683,0.24703835,12.967801,0.69069904,780.77045,0.16963471,1294.9161,0.10883861,-183.04523,-0.29845062,1707.6521,0.036284994,1284.1157,0.34214762,-182.68013,-0.30597,2668.1348,0.096485734,1177.0195,0.53252834,-183.9728,-0.28239274,1.8099854,3.0194573,20.267134,0.15613653,0.013900787,0.71672887,0.027218135,0.3166108,0.03435643,0.3055651,32.449226,0.11468481,-30.49736,-0.3492769,4.0092998,2.68059,4.583955,0.67920756,-10.470033,19.999437,-0.008337846,0.00845276,0.015131338,1.6129032,0.6557377,0.13,0.08,0.91333336,0.38853,-50.94282,train,Session3,Ses03F_impro06,2,Ses03F_impro06_F001,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F001.wav
21.363201,0.023906467,21.028526,21.365808,21.833397,0.8048706,42.361206,37.6547,8.582565,2.731574,0.05955988,0.48674852,0.044555783,0.04677877,0.07187026,0.027314477,0.5625987,0.35941774,0.50839454,0.40140557,0.009066833,0.46983373,28.682531,0.2144384,-0.94233686,-5.204119,10.675008,0.52521634,-5.79372,-0.7438781,0.013150175,0.59756994,1.1171656,0.66854197,2.5888214,0.58616257,5.9397616,0.34543148,27.837866,0.23599178,502.10608,0.34527865,1482.3596,0.15281309,-163.12242,-0.4690904,1458.401,0.117824785,1107.8766,0.2201636,-164.92969,-0.44179547,2618.3706,0.10445815,923.413,0.22355373,-167.10934,-0.40970722,-13.150291,-0.2559567,25.53637,0.23698844,0.02708007,0.44690552,0.0026973414,3.2741065,0.015821822,0.32386777,38.36907,0.0867937,-2.95982,-2.6128695,11.365685,0.9948681,-7.3854866,-1.018324,-12.605628,23.996851,-0.00012064755,0.010641368,0.007599864,1.980198,1.0067114,0.17666666,0.07408704,0.78999996,0.52668774,-55.619358,train,Session3,Ses03F_impro06,3,Ses03F_impro06_M001,neutral,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_M001.wav
33.74066,0.018013015,33.332863,33.7603,34.32315,0.9902878,52.360718,76.25343,11.591168,2.7759237,0.0938209,0.56005865,0.06003425,0.0652102,0.12476362,0.06472938,0.9746203,0.59118134,0.90702856,0.61198,0.017098289,0.5470756,27.973764,0.20163275,-4.6444707,-1.6861207,18.79405,0.3787226,-5.0825667,-1.2591085,0.01814606,0.917583,1.114644,0.49795818,6.0966496,0.3245053,3.6634293,1.4271133,16.269766,0.3436261,585.11945,0.319461,1396.3047,0.12730171,-161.60115,-0.46730295,1646.7617,0.10841965,1086.623,0.35537738,-161.57826,-0.45246342,2596.1714,0.09199312,1082.3322,0.34051314,-162.0395,-0.4452637,-9.941575,-0.5516287,17.008059,0.35157776,0.013324168,1.0889778,-0.0031823134,-3.9810557,0.027402159,0.39527532,33.89282,0.1209766,-12.284174,-0.9340472,23.315895,0.5214657,-6.343202,-1.7513944,-12.164409,20.887032,-0.0069348495,0.0056459457,0.014373902,2.2522523,1.3667426,0.14666666,0.12391753,0.67199993,0.6120588,-50.453568,train,Session3,Ses03F_impro06,4,Ses03F_impro06_F002,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F002.wav
33.29621,0.122321755,33.328865,34.25634,35.9197,2.5908356,208.316,184.4019,26.695406,17.004519,0.12804818,0.6929794,0.062849134,0.0943005,0.18718036,0.12433122,2.2139819,1.8405691,1.5290589,0.7440494,0.025907136,0.8177513,25.130915,0.30498725,-2.3068485,-4.5212255,18.019503,0.49308652,-7.347546,-1.3401711,0.026672572,1.4205788,1.1855996,0.53301966,6.146512,0.4142628,7.6077423,1.1820089,19.26963,0.5448242,640.187,0.38741836,1437.8585,0.20034519,-150.81958,-0.5388425,1644.6162,0.10790263,1103.0392,0.28812125,-147.79063,-0.54435444,2674.591,0.07937356,978.58026,0.294007,-148.87811,-0.52948254,-10.632589,-0.7030601,19.893484,0.44679672,0.02785099,0.75485885,0.001606865,8.146925,0.040794317,0.6144783,29.152266,0.19322702,-8.04908,-1.7038448,21.804052,0.53488904,-8.088198,-1.6242715,-11.347424,18.472294,-0.0012327147,0.0017499112,0.020338967,2.6501768,2.1390376,0.12333333,0.09410396,0.29846153,0.40957472,-45.615646,train,Session3,Ses03F_impro06,5,Ses03F_impro06_F003,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F003.wav
32.0704,0.14899221,33.05742,34.195976,34.80935,1.7519302,1144.5203,0.0,14.135265,16.178389,0.082784235,0.5072806,0.059613705,0.06339147,0.09874044,0.03912674,0.7716164,0.7841647,0.835694,0.6767179,0.015972968,0.39122254,28.096004,0.15950418,-1.3157281,-5.1006074,21.07054,0.38127834,-8.615013,-0.8576556,0.021837711,0.9802922,1.2176112,0.45492607,6.145808,0.43268389,6.830124,0.9025934,14.059259,0.42913735,609.24774,0.2886342,1512.3911,0.12903672,-182.42825,-0.29064286,1727.0233,0.10825763,1127.2832,0.25366968,-181.13551,-0.2916965,2561.9197,0.07883721,1136.3727,0.28406826,-180.68526,-0.2992064,-11.373418,-0.50696415,16.335806,0.44982627,0.019290118,0.79827887,-0.003852695,-1.5311574,0.025488472,0.2578728,29.283056,0.15981479,-6.5845385,-1.8047072,36.556953,0.22750545,-19.794714,-0.41870633,-13.776713,22.271582,-0.010643284,0.0029819703,0.014941887,1.7045455,1.4409221,0.066,0.05571355,0.505,0.6921644,-51.88634,train,Session3,Ses03F_impro06,6,Ses03F_impro06_F004,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F004.wav
35.193604,0.13520268,33.959736,34.63775,39.42352,5.4637833,74.42245,56.71317,22.718597,13.059187,0.09725401,0.6694011,0.059331108,0.06617451,0.12486535,0.06553425,1.2480751,1.0011563,0.9512778,0.80602324,0.019926349,0.71548873,27.217619,0.22482358,-2.7296023,-3.246029,18.620926,0.44373468,-8.557243,-1.03591,0.034279857,1.7045423,1.371205,0.48173204,5.981708,0.38844347,7.604017,1.0274861,17.321161,0.38225096,695.46265,0.25335294,1516.0593,0.16645747,-173.12218,-0.3697347,1748.904,0.1053917,1173.7383,0.3170791,-171.7166,-0.37064242,2710.4834,0.07958607,1088.9797,0.432631,-171.85332,-0.36890894,-11.6913805,-0.44989115,18.762083,0.3570517,0.016850023,0.9686603,-0.0068243616,-1.7371016,0.03791716,0.61788464,30.992785,0.14837395,-9.570688,-1.1765827,25.268604,0.4016523,-16.59849,-0.84648186,-12.549189,20.76679,-0.008970776,0.0034054758,0.016504413,1.7221584,1.3856813,0.10666667,0.108653374,0.5484615,0.6953233,-48.549072,train,Session3,Ses03F_impro06,7,Ses03F_impro06_F005,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F005.wav
34.30801,0.084182665,34.359013,34.88163,35.77797,1.4189568,565.00195,560.039,45.256104,36.06411,0.089298286,0.6029087,0.05907281,0.061558407,0.11322381,0.054151002,0.95893717,0.81179917,0.9853493,0.6723945,0.016010912,0.44822985,27.84636,0.26978654,-3.0673196,-2.592863,16.503626,0.36260998,-5.9673367,-0.91743815,0.02234576,0.84390867,1.1996663,0.5749912,7.078196,0.302703,7.9644847,0.60840726,21.746298,0.36760575,688.3568,0.30921808,1430.6626,0.09908521,-174.18675,-0.37108943,1659.6375,0.13164794,1167.1996,0.20149484,-169.95569,-0.396381,2733.8818,0.09411888,992.618,0.24346109,-171.48013,-0.3730021,-9.955478,-0.62890476,22.238829,0.28368706,0.025582818,0.62761736,0.005496321,1.8725847,0.027694982,0.2717877,36.638733,0.16482285,-11.849893,-1.063685,13.523839,0.724444,-4.379784,-2.1171172,-12.151853,19.898798,-0.00885565,0.0051531936,0.013784628,1.9390582,0.84269667,0.19,0.07118052,0.72999996,0.52120054,-50.570126,train,Session3,Ses03F_impro06,8,Ses03F_impro06_F006,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F006.wav
20.246391,0.043101065,19.763836,20.010519,20.929382,1.1655464,57.370495,85.767555,14.506444,10.826682,0.066771686,0.4570967,0.045503996,0.048844915,0.09160046,0.046096466,0.90312564,0.5274429,0.66613847,0.5407163,0.011405515,0.60112375,29.758997,0.22118247,-3.037383,-1.5954309,13.157381,0.63424826,-5.475039,-1.1608673,0.019689826,0.6763996,1.2170637,0.62998396,2.2780218,0.547176,3.291422,0.83926857,23.06219,0.28555316,424.0168,0.2181689,1284.3938,0.14831339,-160.19461,-0.48285407,1426.1742,0.08870377,1100.3845,0.4507307,-162.44907,-0.4467054,2453.94,0.06987653,901.2281,0.2836023,-163.6915,-0.4290676,-14.804998,-0.23296694,23.79269,0.21960965,0.023589993,0.7096311,-0.0059248335,-1.4870912,0.018145837,0.25069252,38.18526,0.09247887,-2.775804,-2.3379858,19.77011,0.6035672,-7.362898,-1.403007,-11.55718,22.839476,0.0040763444,0.011226114,0.009716192,2.6509573,1.4836795,0.129,0.13224597,0.47636363,0.37976718,-53.794353,train,Session3,Ses03F_impro06,9,Ses03F_impro06_M002,sad,/scratch/data/bikash_rs/Vivek/dataset/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_M002.wav
